StartDateofShoppingStudyPart1,DurationinsecondsofShoppingStudyPart1,age,InformedConsent,ProductSelected,PRE_FeltUrge,PRE_PurchaseIntent,gender,gender_other,StartDateofShopping_Study_Part2,DurationinsecondsofShopping_Study_Part2,POST_FeltUrge,POST_PurchaseIntent,Shopped,Bought,ImpulseBuyngFreq,MaritalStatus,Race_white,Race_hispaniclatino,Race_black,Race_nativeamerican,Race_asian,Race_pacificislander,Race_other,Race_othertext,employment_full,employment_part,employment_outandlooking,employment_outandNotlooking,employment_stayathomeparent,employment_student,employment_military,employment_retired,employment_unabletowork,employment_other,employment_otherText,education,householdincome,DIFF_Urge,DIFF_Intent,TimeElapsed_Minutes,TimeElapsed_Hours,Part1_Complete,Part2_Complete,filter_$,PRE_UrgeIntent_INDEX,POST_UrgeIntent_INDEX,DIFF_UrgeIntent_INDEX,ImpFreq_HighLow
01/29/2018 9:53 AM,172,19,1,2,3,2,2, ,01/30/2018 8:36 AM,102,3,3,1,1,2,6, , ,., ,1, , , , ,1, , , ,1, , , , , ,2,3,0,-1,1125,18.75,1,1,0,2.5,3,-.5, 
01/29/2018 10:03 AM,79,21,1,2,4,5,2, ,01/30/2018 8:45 AM,90,6,6,1,1,4,6, , ,., ,1, , , , , , , , ,1, , , , , ,3,6,-2,-1,1124,18.73333333,1,1,0,4.5,6,-1.5,1
01/30/2018 7:25 PM,82,19,1,6,5,5,1, ,01/31/2018 8:22 AM,264,5,6,1,1,3,6,1, ,., , , , , , , , , , ,1, , , , , ,3,1,0,-1,780,13,1,1,0,5,5.5,-.5,1
01/29/2018 9:54 AM,59,20,1,2,3,2,2, ,01/30/2018 9:02 AM,52,2,2,1,0,3,6,1, ,., , , , , , , , , , ,1, , , , , ,3,6,1,0,1387,23.11666667,1,1,1,2.5,2,.5,1
01/29/2018 11:55 AM,126,23,1,5,3,3,1, ,01/30/2018 8:46 AM,118,5,5,1,0,4,6,1, ,., , , , , , , , , , ,1, , , , , ,3,1,-2,-2,1251,20.85,1,1,1,3,5,-2,1
01/29/2018 9:31 AM,423,21,1,6,4,4,2, ,01/30/2018 8:27 AM,41,4,3,1,0,3,6,1, ,., , , , , , , , , , ,1, , , , , ,3,1,0,1,1136,18.93333333,1,1,1,4,3.5,.5,1
01/30/2018 7:36 AM,101,20,1,6,4,3,1, ,01/31/2018 2:18 PM,216,4,3,1,0,2,6, , ,1, , , , , , ,1, , , ,1, , , , , ,3,1,0,0,1844,30.73333333,1,1,1,3.5,3.5,0, 
01/29/2018 10:42 AM,84,19,1,5,5,5,1, ,01/30/2018 8:25 AM,78,5,5,1,0,2,6,1, ,., , , , , , , , , , ,1, , , , , ,2,6,0,0,1303,21.71666667,1,1,1,5,5,0, 
01/29/2018 10:02 AM,98,21,1,2,6,6,1, ,01/30/2018 8:39 AM,98,4,4,1,0,3,6, , ,., ,1, , , , , , , , ,1, , , , , ,6,1,2,2,1356,22.6,1,1,1,6,4,2,1
01/29/2018 10:12 AM,85,19,1,5,7,6,1, ,01/31/2018 9:39 AM,48,7,7,1,0,2,6, , ,., ,1, , , , ,1, , , ,1, , , , , ,3,6,0,-1,2847,47.45,1,1,1,6.5,7,-.5, 
01/29/2018 5:38 PM,103,21,1,5,4,4,2, ,01/30/2018 9:48 AM,50,3,2,1, , , , , ,., , , , , , , , , , , , , , , , , , ,1,2,1209,20.15,1,0,0,4,2.5,1.5, 
01/29/2018 1:43 PM,69,18,1,6,4,4,1, ,01/30/2018 2:42 PM,59,4,4,0,1,2,6,1, ,., , , , , , , , , , ,1, , , , , ,3,5,0,0,1259,20.98333333,1,1,0,4,4,0, 
01/29/2018 9:31 AM,79,18,1,6,5,7,2, ,01/30/2018 11:02 AM,81,4,5,0,1,1,6,1, ,1, , , , , , , , , , ,1, , , , , ,2,1,1,2,1530,25.5,1,1,0,6,4.5,1.5,0
01/29/2018 9:59 AM,79,18,1,2,1,1,2, ,01/30/2018 8:42 AM,50,1,1,0,0,3,6,1, ,., , , , , , , , , , ,1, , , , , ,3,5,0,0,1362,22.7,1,1,1,1,1,0,1
01/29/2018 8:32 PM,198,19,1,3,1,1,2, ,01/30/2018 8:27 AM,68,1,1,0,0,1,6, ,1,., , , , , , , , , , , , , , ,1,part time internship,3,5,0,0,713,11.88333333,1,1,1,1,1,0,0
01/31/2018 10:45 PM,101,18,1,5,1,1,1, ,02/01/2018 3:00 PM,66,1,1,0,0,3,6,1, ,., , , , , , , , , , ,1, , , , , ,3,5,0,0,975,16.25,1,1,1,1,1,0,1
01/29/2018 11:14 AM,144,20,1,5,1,1,2, ,01/30/2018 11:26 AM,199,1,1,0,0,3,6,1, ,., , , , , , ,1, , , ,1, , , , , ,2,1,0,0,1452,24.2,1,1,1,1,1,0,1
01/29/2018 9:43 AM,74,23,1,5,1,1,2, ,01/30/2018 1:06 PM,525,1,1,0,0,1,1,1,1,., , , , , , , , , , ,1, , , , , ,5,3,0,0,1651,27.51666667,1,1,1,1,1,0,0
02/01/2018 11:36 AM,65,18,1,1,1,1,1, ,02/02/2018 9:21 AM,86,1,1,0,0,2,6,1, ,., , , , , , , , , , ,1, , , , , ,2,5,0,0,1305,21.75,1,1,1,1,1,0, 
01/30/2018 10:17 AM,69,22,1,5,1,1,2, ,01/31/2018 8:27 AM,54,2,1,0,0,3,6,1, ,., , , , , , , , , , ,1, , , , , ,3,1,-1,0,1330,22.16666667,1,1,1,1,1.5,-.5,1
01/29/2018 9:37 AM,48,21,1,1,1,1,1, ,01/30/2018 12:06 PM,48,1,1,0,0,3,6, , ,., ,1, , , , , , , , ,1, , , , , ,3,6,0,0,1589,26.48333333,1,1,1,1,1,0,1
