Condition,Durationinseconds,RecordedDate,Q4_ProductText,Q5_Initial_Urge,Q6_Initial_Intent,Q8_Browser,Q8_Version,Q8_OperatingSystem,Q8_Resolution,Q11_3_SqTable1,Q11_4_SqTable1,Q11_5_SqTable1,Q11_6_SqTable1,Q11_7_SqTable1,Q11_8_SqTable1,Q11_9_SqTable1,Q11_10_SqTable1,Q11_11_SqTable1,Q11_12_SqTable1,Q11_13_SqTable1,Q11_14_SqTable1,Q11_15_SqTable1,Q11_16_SqTable1,Q11_17_SqTable1,Q12_PageSubmit,Q15_3_SqTable2,Q15_4_SqTable2,Q15_5_SqTable2,Q15_6_SqTable2,Q15_7_SqTable2,Q15_8_SqTable2,Q15_9_SqTable2,Q15_10_SqTable2,Q15_11_SqTable2,Q15_12_SqTable2,Q15_13_SqTable2,Q15_14_SqTable2,Q15_15_SqTable2,Q15_16_SqTable2,Q15_17_SqTable2,Q16_PageSubmit,Q17_Grp2_PostUrge,Q18_Grp2_PostIntent,Q24_Grp1_PostUrge,Q25_Grp1_PostIntent,Q27_PlanningToBuy,IBT_1,IBT_2,IBT_3,IBT_4,IBT_5,MotivationLevel,SelfEfficacy,NFC_1,NFC_2,NFC_3,NFC_4,NFC_5,Gender,GenderTEXT,Age,Income,Race_White,Race_Hispanic,Race_Black,Race_NativeAmerican,Race_Asian,Race_PacificIslander,Race_Other,Race_Other_Text,Employment_FullTime,Employment_PartTime,Employment_OutLooking,Employment_OutNotLooking,Employment_StayHomeParent,Employment_Student,Employment_Military,Employment_Retired,Employment_UnableWork,MaritialStatus,Education,Q78_ReflectionDifficultyFor,Q79ReflectionDifficultyAgainst,Q108_DifficultyCounting,Q109_WasDistracted,Prod_Page_Number,Screener_Duration_sec,Screener_RecordedDate,Screener_Freq_ImpulseBuying,IBT5_NEW,IB_SCALE,NFC3_NEW,NFC_SCALE,DV_Urge,DV_Intent,ReflectionCondition,DistractionCondition,CHAR_Reflect_For_1,CHAR_Reflect_For_2,CHAR_Reflect_For_3,CHAR_Reflect_For_4,CHAR_Reflect_For_5,Total_Chars_ForBuying,CHAR_Reflect_Against_1,CHAR_Reflect_Against_2,CHAR_Reflect_Against_3,CHAR_Reflect_Against_4,CHAR_Reflect_Against_5,Total_Chars_AgainstBuying,Reflection_TotalCharacters,DV_POST_INDEX,DV_PRE_INDEX,NumberCorrect_Table1,NumberCorrect_Table2,NumberCorrect_TOTAL,TimeSpent_Distraction,ReflectionDiff_Urge,ReflectionDiff_Intent,DistractionDiff_Intent,DistractionDiff_Urge,NCFxReflection,AverageDifficulty_Reflection,InterventionDifficulty,InterventionTimeSpent,Male,IBTxReflection,IBTxDistraction,NCFxDistraction,UrgeIntent_DIFF,PerfectCountingScore_YN,filter_$
1,1062,11/20/19 10:34,"""Product # 33: Cervical Spine Alignment Chiropractic Traction Device, Neck and Head Pain Relief""",7,6,Chrome,78.0.3904.97,Windows NT 6.1,1600x900, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,0,4,5,3,7,4,6,5,5,5,4,5,5,3,Genderqueer,42,1,1,0,0,0,0,0,0, , , , , , , , , ,1,1,5,5,4, , ,1,81,11/18/19 14:41,2,4,23,2,22,7,6,1,0,112,89,130,149,92,572,38,92,52,55,39,276,848,6.5,6.5,0,0,0, ,0,0, , ,22,4.5,4.5,284.166,0,23,0,0,0,0,1
1,445,11/19/19 14:18,Product # 19: Pink Octopus Ceramic 3D Coffee Mug with Tentacle Handle,4,4,Chrome,78.0.3904.97,Windows NT 10.0,1366x768, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,0,4,5,3,7,1,4,6,3,3,4,4,4,3,non binary,34,1,1,0,0,0,0,0,0, ,1, , , , , , , , ,6,6,5,3, , ,1,68,11/18/19 14:36,3,7,26,2,16,4,3,1,0,24,29,33,40,36,162,23,59,33,48,65,228,390,3.5,4,0,0,0, ,0,1, , ,16,4,4,143.316,0,26,0,0,.5,0,1
1,688,11/20/19 14:05,Product # 191: LOCHAS Deluxe Super Soft Fluffy Shaggy Home Decor Faux Sheepskin Silky Rug for Bedroom Floor Sofa Chair,6,6,Firefox,68,Linux x86_64,1366x768, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,0,5,5,5,7,3,6,3,4,4,4,4,4,3,nonbinary,47,1,1,0,0,0,0,0,0, ,1, , , , , , , , ,6,6,5,3, , ,5,44,11/18/19 14:43,2,5,27,2,18,6,5,1,0,21,32,103,27,47,230,52,8,23,33,114,230,460,5.5,6,0,0,0, ,0,1, , ,18,4,4,106.266,0,27,0,0,.5,0,1
1,564,11/20/19 10:32,Product # 67: RED Crab Spoon Holder & Steam Releaser by OTOTO,4,5,Safari iPhone,13.0.1,iPhone,375x812, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,0,3,3,1,2,5,5,6,4,2,4,4,5,3,Nonbinary,23,4,1,0,0,0,0,0,0, ,1, , , , , , , , ,6,6,4,4, , ,2,41,11/18/19 14:33,2,3,12,2,17,4,4,1,0,8,6,12,20,4,50,16,44,58,17,25,160,210,4,4.5,0,0,0, ,0,1, , ,17,4,4,138.848,0,12,0,0,.5,0,1
1,1006,11/21/19 10:35,"""Product # 26: Burrito Blanket, Giant Flour Tortilla Throw Blanket,  Flannel Taco Blanket for Kids.""",5,5,Safari iPhone,12.1.1,iPhone,375x667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,0,5,5,3,5,3,5,6,4,4,4,4,5,2, ,23,2,1,0,0,0,0,0,0, , ,1, , , ,1, , , ,2,3,5,4, , ,1,37,11/18/19 14:31,2,5,23,2,19,6,6,1,0,63,60,11,38,37,209,42,69,37,45,24,217,426,6,5,0,0,0, ,-1,-1, , ,19,4.5,4.5,323.25,0,23,0,0,-1,0,1
1,703,11/19/19 14:25,"""Product # 41: Outdoor Waterproof Bluetooth Speaker, Kunodi Wireless Portable Mini Shower Travel Speaker""",2,2,Chrome,78.0.3904.97,Macintosh,1440x900, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,0,5,5,5,6,3,6,1,1,1,5,1,1,2, ,32,1,1,0,0,0,0,0,0, ,1,1, , , , , , , ,6,7,5,2, , ,2,33,11/18/19 14:35,4,5,26,1,5,3,2,1,0,33,48,61,10,30,182,16,27,48,90,26,207,389,2.5,2,0,0,0, ,-1,0, , ,5,3.5,3.5,139.634,0,26,0,0,-.5,0,1
1,352,11/20/19 10:07,"""Product # 47: CREATURE CUPS Cthulhu Ceramic Cup (11 Ounce, Black) | Hidden Creepy Animal Inside""",4,3,Chrome,78.0.3904.97,Macintosh,1440x900, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,0,3,3,4,6,5,5,5,4,4,2,5,5,2, ,21,1,1,0,0,0,0,0,0, , , , , , ,1, , , ,6,3,4,4, , ,2,32,11/18/19 14:29,2,3,19,4,22,5,3,1,0,9,12,24,12,34,91,9,8,40,19,40,116,207,4,3.5,0,0,0, ,-1,0, , ,22,4,4,73.733,0,19,0,0,-.5,0,1
1,952,11/20/19 10:09,"""Product # 35: Snuggie- The Original Wearable Blanket, As Seen On TV- Plaid""",4,5,Chrome,78.0.3904.97,Windows NT 10.0,1280x720, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,0,4,4,4,5,3,2,6,1,1,4,2,1,2, ,33,1,1,0,0,0,0,0,0, , , , , , , , , ,1,6,6,3,2, , ,1,194,11/18/19 14:34,2,5,22,2,7,5,5,1,0,29,27,52,35,15,158,16,42,15,63,62,198,356,5,4.5,0,0,0, ,-1,0, , ,7,2.5,2.5,191.07,0,22,0,0,-.5,0,1
1,1302,11/20/19 10:37,Product # 5: Beyution Bluetooth Wireless Headphones with Built-in,5,7,Chrome,78.0.3904.97,Windows NT 10.0,1024x600, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,0,7,4,7,3,1,6,4,5,2,4,5,2,2, ,29,1,0,0,1,0,0,0,0, , , ,1, , , , , , ,6,2,5,4, , ,1,61,11/18/19 14:49,4,7,28,2,16,5,7,1,0,12,19,17,16,23,87,11,18,33,12,17,91,178,6,6,0,0,0, ,0,0, , ,16,4.5,4.5,446.691,0,28,0,0,0,0,1
1,495,11/20/19 14:14,Product # 67: RED Crab Spoon Holder & Steam Releaser by OTOTO,5,5,Firefox,70,Windows NT 10.0,1440x810, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,0,5,5,3,4,4,5,6,5,4,1,5,5,2, ,59,3,1,0,0,0,0,0,0, ,1, , , , , , , , ,6,6,5,5, , ,2,29,11/18/19 14:41,2,4,21,5,24,5,5,1,0,44,10,42,33,61,190,40,91,70,57,53,311,501,5,5,0,0,0, ,0,0, , ,24,5,5,199.133,0,21,0,0,0,0,1
